NRM/DEL/M/CSL/UNI: l
RPV/ICP/A/VAR/COH: šp’w
RPV/ICP/A/VAR/CST: čp’w
RPV/ICP/A/VAR/MLT: ššpl
RPV/ICP/A/COA/UNI: šql
RPV/ICP/A/COA/DPX: čql
RPV/ICP/A/COA/DCT: čqw
RPV/ICP/A/COA/AGG: šqw
RPV/ICP/A/COA/SEG: ššqw
RPV/ICP/A/COA/CPN: xxhw
RPV/ICP/A/COA/COH: šq’w
RPV/ICP/A/COA/CST: čq’w
RPV/ICP/A/COA/MLT: ššql
RPV/TRM/M/CSL/UNI: tr
RPV/TRM/M/CSL/DPX: ttr
RPV/TRM/M/CSL/DCT: ltr
RPV/TRM/M/CSL/AGG: rtr
RPV/TRM/M/CSL/SEG: ntr
RPV/TRM/M/CSL/CPN: řtr
RPV/TRM/M/CSL/COH: mtr
RPV/TRM/M/CSL/CST: ļtr
RPV/TRM/M/CSL/MLT: rtn
RPV/TRM/M/ASO/UNI: kr
RPV/TRM/M/ASO/DPX: kkr
RPV/TRM/M/ASO/DCT: lkr
RPV/TRM/M/ASO/AGG: rkr
RPV/TRM/M/ASO/SEG: ňkr
RPV/TRM/M/ASO/CPN: řkr
RPV/TRM/M/ASO/COH: mkr
RPV/TRM/M/ASO/CST: ļkr
RPV/TRM/M/ASO/MLT: rkn
RPV/TRM/M/VAR/UNI: pr
RPV/TRM/M/VAR/DPX: ppr
RPV/TRM/M/VAR/DCT: lpr
RPV/TRM/M/VAR/AGG: rpr
RPV/TRM/M/VAR/SEG: mpr
RPV/TRM/M/VAR/CPN: řpr
RPV/TRM/M/VAR/COH: ňpr
RPV/TRM/M/VAR/CST: ļpr
RPV/TRM/M/VAR/MLT: rpn
RPV/TRM/M/COA/UNI: qr
RPV/TRM/M/COA/DPX: qqr
RPV/TRM/M/COA/DCT: lqr
RPV/TRM/M/COA/AGG: rqr
RPV/TRM/M/COA/SEG: ňqr
RPV/TRM/M/COA/CPN: řqr
RPV/TRM/M/COA/COH: mqr
RPV/TRM/M/COA/CST: ļqr
RPV/TRM/M/COA/MLT: rqn
RPV/TRM/U/CSL/UNI: dr
RPV/TRM/U/CSL/DPX: ddr
RPV/TRM/U/CSL/DCT: ldr
RPV/TRM/U/CSL/AGG: rdr
RPV/TRM/U/CSL/SEG: ndr
RPV/TRM/U/CSL/CPN: řdr
RPV/TRM/U/CSL/COH: bdr
RPV/TRM/U/CSL/CST: dgr
RPV/TRM/U/CSL/MLT: vbr
RPV/TRM/U/ASO/UNI: gr
RPV/TRM/U/ASO/DPX: ggr
RPV/TRM/U/ASO/DCT: lgr
RPV/TRM/U/ASO/AGG: rgr
RPV/TRM/U/ASO/SEG: ňgr
RPV/TRM/U/ASO/CPN: řgr
RPV/TRM/U/ASO/COH: gdr
RPV/TRM/U/ASO/CST: gbr
RPV/TRM/U/ASO/MLT: vgr
RPV/TRM/U/VAR/UNI: br
RPV/TRM/U/VAR/DPX: bbr
RPV/TRM/U/VAR/DCT: lbr
RPV/TRM/U/VAR/AGG: rbr
RPV/TRM/U/VAR/SEG: mbr
RPV/TRM/U/VAR/CPN: řbr
RPV/TRM/U/VAR/COH: dbr
RPV/TRM/U/VAR/CST: bgr
RPV/TRM/U/VAR/MLT: vdr
RPV/TRM/U/COA/UNI: mr
RPV/TRM/U/COA/DPX: nř
RPV/TRM/U/COA/DCT: ňr
RPV/TRM/U/COA/AGG: nr
RPV/TRM/U/COA/SEG: dhř
RPV/TRM/U/COA/CPN: vř
RPV/TRM/U/COA/COH: bř
RPV/TRM/U/COA/CST: dř
RPV/TRM/U/COA/MLT: gř
RPV/TRM/N/CSL/UNI: skr
RPV/TRM/N/CSL/DPX: ckr
RPV/TRM/N/CSL/DCT: cky
RPV/TRM/N/CSL/AGG: sky
RPV/TRM/N/CSL/SEG: ssky
RPV/TRM/N/CSL/CPN: čʰw
RPV/TRM/N/CSL/COH: skʰw
RPV/TRM/N/CSL/CST: ckʰw
RPV/TRM/N/CSL/MLT: sskr
RPV/TRM/N/ASO/UNI: str
RPV/TRM/N/ASO/DPX: ctr
RPV/TRM/N/ASO/DCT: cty
RPV/TRM/N/ASO/AGG: sty
RPV/TRM/N/ASO/SEG: ssty
RPV/TRM/N/ASO/CPN: cʰy
RPV/TRM/N/ASO/COH: stʰw
RPV/TRM/N/ASO/CST: ctʰw
RPV/TRM/N/ASO/MLT: sstr
RPV/TRM/N/VAR/UNI: spr
RPV/TRM/N/VAR/DPX: cpr
RPV/TRM/N/VAR/DCT: cpy
RPV/TRM/N/VAR/AGG: spy
RPV/TRM/N/VAR/SEG: sspy
RPV/TRM/N/VAR/CPN: cʰw
RPV/TRM/N/VAR/COH: spʰw
RPV/TRM/N/VAR/CST: cpʰw
RPV/TRM/N/VAR/MLT: sspr
RPV/TRM/N/COA/UNI: sqr
RPV/TRM/N/COA/DPX: cqr
RPV/TRM/N/COA/DCT: c’y
RPV/TRM/N/COA/AGG: cy
RPV/TRM/N/COA/SEG: çr
RPV/TRM/N/COA/CPN: čʰy
RPV/TRM/N/COA/COH: sqʰw
RPV/TRM/N/COA/CST: cqʰw
RPV/TRM/N/COA/MLT: ssqr
RPV/TRM/A/CSL/UNI: škr
RPV/TRM/A/CSL/DPX: čkr
RPV/TRM/A/CSL/DCT: čky
RPV/TRM/A/CSL/AGG: šky
RPV/TRM/A/CSL/SEG: ššky
RPV/TRM/A/CSL/CPN: ļkw
RPV/TRM/A/CSL/COH: škʰw
RPV/TRM/A/CSL/CST: čkʰw
RPV/TRM/A/CSL/MLT: šškr
RPV/TRM/A/ASO/UNI: štr
RPV/TRM/A/ASO/DPX: čtr
RPV/TRM/A/ASO/DCT: čty
RPV/TRM/A/ASO/AGG: šty
RPV/TRM/A/ASO/SEG: ššty
RPV/TRM/A/ASO/CPN: ļtw
RPV/TRM/A/ASO/COH: štʰw
RPV/TRM/A/ASO/CST: čtʰw
RPV/TRM/A/ASO/MLT: šštr
RPV/TRM/A/VAR/UNI: špr
RPV/TRM/A/VAR/DPX: čpr
RPV/TRM/A/VAR/DCT: čpy
RPV/TRM/A/VAR/AGG: špy
RPV/TRM/A/VAR/SEG: ššpy
RPV/TRM/A/VAR/CPN: ļpw
RPV/TRM/A/VAR/COH: špʰw
RPV/TRM/A/VAR/CST: čpʰw
RPV/TRM/A/VAR/MLT: ššpr
RPV/TRM/A/COA/UNI: šqr
RPV/TRM/A/COA/DPX: čqr
RPV/TRM/A/COA/DCT: č’y
RPV/TRM/A/COA/AGG: čy
RPV/TRM/A/COA/SEG: çř
RPV/TRM/A/COA/CPN: ļqw
RPV/TRM/A/COA/COH: šqʰw
RPV/TRM/A/COA/CST: čqʰw
RPV/TRM/A/COA/MLT: ššqr
RPV/DPL/M/CSL/UNI: sl
RPV/DPL/M/CSL/DPX: ssl
RPV/DPL/M/CSL/DCT: lsl
RPV/DPL/M/CSL/AGG: rsl
RPV/DPL/M/CSL/SEG: msl
RPV/DPL/M/CSL/CPN: řsl
RPV/DPL/M/CSL/COH: nsl
RPV/DPL/M/CSL/CST: ňsl
RPV/DPL/M/CSL/MLT: ţst
RPV/DPL/M/ASO/UNI: šl
RPV/DPL/M/ASO/DPX: ššl
RPV/DPL/M/ASO/DCT: lšl
RPV/DPL/M/ASO/AGG: ršl
RPV/DPL/M/ASO/SEG: mšl
RPV/DPL/M/ASO/CPN: řšl
RPV/DPL/M/ASO/COH: nšl
RPV/DPL/M/ASO/CST: ňšl
RPV/DPL/M/ASO/MLT: ţšt
RPV/DPL/M/VAR/UNI: zl
RPV/DPL/M/VAR/DPX: zzl
RPV/DPL/M/VAR/DCT: lzl
RPV/DPL/M/VAR/AGG: rzl
RPV/DPL/M/VAR/SEG: mzl
RPV/DPL/M/VAR/CPN: řzl
RPV/DPL/M/VAR/COH: nzl
RPV/DPL/M/VAR/CST: ňzl
RPV/DPL/M/VAR/MLT: ţsp
RPV/DPL/M/COA/UNI: žl
RPV/DPL/M/COA/DPX: žžl
RPV/DPL/M/COA/DCT: lžl
RPV/DPL/M/COA/AGG: ržl
RPV/DPL/M/COA/SEG: mžl
RPV/DPL/M/COA/CPN: řžl
RPV/DPL/M/COA/COH: nžl
RPV/DPL/M/COA/CST: ňžl
RPV/DPL/M/COA/MLT: ţšp
RPV/DPL/U/CSL/UNI: fl
RPV/DPL/U/CSL/DPX: ffl
RPV/DPL/U/CSL/DCT: lfl
RPV/DPL/U/CSL/AGG: rfl
RPV/DPL/U/CSL/SEG: mfl
RPV/DPL/U/CSL/CPN: řfl
RPV/DPL/U/CSL/COH: fxl
RPV/DPL/U/CSL/CST: ňfl
RPV/DPL/U/CSL/MLT: pxl
RPV/DPL/U/ASO/UNI: ţl
RPV/DPL/U/ASO/DPX: ţţl
RPV/DPL/U/ASO/DCT: lţl
RPV/DPL/U/ASO/AGG: rţl
RPV/DPL/U/ASO/SEG: nţl
RPV/DPL/U/ASO/CPN: řţl
RPV/DPL/U/ASO/COH: ţxl
RPV/DPL/U/ASO/CST: mţl
RPV/DPL/U/ASO/MLT: txl
RPV/DPL/U/VAR/UNI: xl
RPV/DPL/U/VAR/DPX: xxl
RPV/DPL/U/VAR/DCT: lxl
RPV/DPL/U/VAR/AGG: rxl
RPV/DPL/U/VAR/SEG: ňxl
RPV/DPL/U/VAR/CPN: řxl
RPV/DPL/U/VAR/COH: xfl
RPV/DPL/U/VAR/CST: mxl
RPV/DPL/U/VAR/MLT: xţl
RPV/DPL/U/COA/UNI: xhl
RPV/DPL/U/COA/DPX: xxhl
RPV/DPL/U/COA/DCT: lxhl
RPV/DPL/U/COA/AGG: rxhl
RPV/DPL/U/COA/SEG: ňxhl
RPV/DPL/U/COA/CPN: qtl
RPV/DPL/U/COA/COH: xhfl
RPV/DPL/U/COA/CST: mxhl
RPV/DPL/U/COA/MLT: xhţl
RPV/DPL/N/CSL/UNI: vl
RPV/DPL/N/CSL/DPX: vvl
RPV/DPL/N/CSL/DCT: lvl
RPV/DPL/N/CSL/AGG: rvl
RPV/DPL/N/CSL/SEG: mvl
RPV/DPL/N/CSL/CPN: řvl
RPV/DPL/N/CSL/COH: lpţ
RPV/DPL/N/CSL/CST: lkţ
RPV/DPL/N/CSL/MLT: mpļ
RPV/DPL/N/ASO/UNI: dhl
RPV/DPL/N/ASO/DPX: ddhl
RPV/DPL/N/ASO/DCT: ldhl
RPV/DPL/N/ASO/AGG: rdhl
RPV/DPL/N/ASO/SEG: ndhl
RPV/DPL/N/ASO/CPN: řdhl
RPV/DPL/N/ASO/COH: cl
RPV/DPL/N/ASO/CST: čl
RPV/DPL/N/ASO/MLT: ntļ
RPV/DPL/N/VAR/UNI: sv
RPV/DPL/N/VAR/DPX: sř
RPV/DPL/N/VAR/DCT: ksw
RPV/DPL/N/VAR/AGG: sxw
RPV/DPL/N/VAR/SEG: lsř
RPV/DPL/N/VAR/CPN: rsř
RPV/DPL/N/VAR/COH: fsw
RPV/DPL/N/VAR/CST: řsř
RPV/DPL/N/VAR/MLT: bzw
RPV/DPL/N/COA/UNI: zv
RPV/DPL/N/COA/DPX: zř
RPV/DPL/N/COA/DCT: psw
RPV/DPL/N/COA/AGG: sxhw
RPV/DPL/N/COA/SEG: lzř
RPV/DPL/N/COA/CPN: rzř
RPV/DPL/N/COA/COH: sfw
RPV/DPL/N/COA/CST: řzř
RPV/DPL/N/COA/MLT: gzw
RPV/DPL/A/CSL/UNI: sm
RPV/DPL/A/CSL/DPX: sy
RPV/DPL/A/CSL/DCT: cm
RPV/DPL/A/CSL/AGG: zm
RPV/DPL/A/CSL/SEG: żm
RPV/DPL/A/CSL/CPN: çm
RPV/DPL/A/CSL/COH: bm
RPV/DPL/A/CSL/CST: dm
RPV/DPL/A/CSL/MLT: gm
RPV/DPL/A/ASO/UNI: šm
RPV/DPL/A/ASO/DPX: šy
RPV/DPL/A/ASO/DCT: čm
RPV/DPL/A/ASO/AGG: žm
RPV/DPL/A/ASO/SEG: jm
RPV/DPL/A/ASO/CPN: ļm
RPV/DPL/A/ASO/COH: vm
RPV/DPL/A/ASO/CST: dhm
RPV/DPL/A/ASO/MLT: kř
RPV/DPL/A/VAR/UNI: sn
RPV/DPL/A/VAR/DPX: zy
RPV/DPL/A/VAR/DCT: cn
RPV/DPL/A/VAR/AGG: zn
RPV/DPL/A/VAR/SEG: żn
RPV/DPL/A/VAR/CPN: çn
RPV/DPL/A/VAR/COH: bn
RPV/DPL/A/VAR/CST: dn
RPV/DPL/A/VAR/MLT: gn
RPV/DPL/A/COA/UNI: šn
RPV/DPL/A/COA/DPX: žy
RPV/DPL/A/COA/DCT: čn
RPV/DPL/A/COA/AGG: žn
RPV/DPL/A/COA/SEG: jn
RPV/DPL/A/COA/CPN: ļn
RPV/DPL/A/COA/COH: vn
RPV/DPL/A/COA/CST: dhn
RPV/DPL/A/COA/MLT: ňř
RPV/GRA/M/CSL/UNI: sr
RPV/GRA/M/CSL/DPX: ssr
RPV/GRA/M/CSL/DCT: lsr
RPV/GRA/M/CSL/AGG: rsr
RPV/GRA/M/CSL/SEG: msr
RPV/GRA/M/CSL/CPN: řsr
RPV/GRA/M/CSL/COH: nsr
RPV/GRA/M/CSL/CST: ňsr
RPV/GRA/M/CSL/MLT: ţsk
RPV/GRA/M/ASO/UNI: šr
RPV/GRA/M/ASO/DPX: ššr
RPV/GRA/M/ASO/DCT: lšr
RPV/GRA/M/ASO/AGG: ršr
RPV/GRA/M/ASO/SEG: mšr
RPV/GRA/M/ASO/CPN: řšr
RPV/GRA/M/ASO/COH: nšr
RPV/GRA/M/ASO/CST: ňšr
RPV/GRA/M/ASO/MLT: ţšk
RPV/GRA/M/VAR/UNI: zr
RPV/GRA/M/VAR/DPX: zzr
RPV/GRA/M/VAR/DCT: lzr
RPV/GRA/M/VAR/AGG: rzr
RPV/GRA/M/VAR/SEG: mzr
RPV/GRA/M/VAR/CPN: řzr
RPV/GRA/M/VAR/COH: nzr
RPV/GRA/M/VAR/CST: ňzr
RPV/GRA/M/VAR/MLT: ţsq
RPV/GRA/M/COA/UNI: žr
RPV/GRA/M/COA/DPX: žžr
RPV/GRA/M/COA/DCT: lžr
RPV/GRA/M/COA/AGG: ržr
RPV/GRA/M/COA/SEG: mžr
RPV/GRA/M/COA/CPN: řžr
RPV/GRA/M/COA/COH: nžr
RPV/GRA/M/COA/CST: ňžr
RPV/GRA/M/COA/MLT: ţšq
RPV/GRA/U/CSL/UNI: fr
RPV/GRA/U/CSL/DPX: ffr
RPV/GRA/U/CSL/DCT: lfr
RPV/GRA/U/CSL/AGG: rfr
RPV/GRA/U/CSL/SEG: mfr
RPV/GRA/U/CSL/CPN: řfr
RPV/GRA/U/CSL/COH: fxr
RPV/GRA/U/CSL/CST: ňfr
RPV/GRA/U/CSL/MLT: pxr
RPV/GRA/U/ASO/UNI: ţr
RPV/GRA/U/ASO/DPX: ţţr
RPV/GRA/U/ASO/DCT: lţr
RPV/GRA/U/ASO/AGG: rţr
RPV/GRA/U/ASO/SEG: nţr
RPV/GRA/U/ASO/CPN: řţr
RPV/GRA/U/ASO/COH: ţxr
RPV/GRA/U/ASO/CST: mţr
RPV/GRA/U/ASO/MLT: txr
RPV/GRA/U/VAR/UNI: xr
RPV/GRA/U/VAR/DPX: xxr
RPV/GRA/U/VAR/DCT: lxr
RPV/GRA/U/VAR/AGG: rxr
RPV/GRA/U/VAR/SEG: ňxr
RPV/GRA/U/VAR/CPN: řxr
RPV/GRA/U/VAR/COH: xfr
RPV/GRA/U/VAR/CST: mxr
RPV/GRA/U/VAR/MLT: xţr
RPV/GRA/U/COA/UNI: xhr
RPV/GRA/U/COA/DPX: xxhr
RPV/GRA/U/COA/DCT: lxhr
RPV/GRA/U/COA/AGG: rxhr
RPV/GRA/U/COA/SEG: ňxhr
RPV/GRA/U/COA/CPN: qtr
RPV/GRA/U/COA/COH: xhfr
RPV/GRA/U/COA/CST: mxhr
RPV/GRA/U/COA/MLT: xhţr
RPV/GRA/N/CSL/UNI: vr
RPV/GRA/N/CSL/DPX: vvr
RPV/GRA/N/CSL/DCT: lvr
RPV/GRA/N/CSL/AGG: rvr
RPV/GRA/N/CSL/SEG: mvr
RPV/GRA/N/CSL/CPN: řvr
RPV/GRA/N/CSL/COH: rpţ
RPV/GRA/N/CSL/CST: rkţ
RPV/GRA/N/CSL/MLT: mpř
RPV/GRA/N/ASO/UNI: dhr
RPV/GRA/N/ASO/DPX: ddhr
RPV/GRA/N/ASO/DCT: ldhr
RPV/GRA/N/ASO/AGG: rdhr
RPV/GRA/N/ASO/SEG: ndhr
RPV/GRA/N/ASO/CPN: řdhr
RPV/GRA/N/ASO/COH: cr
RPV/GRA/N/ASO/CST: čr
RPV/GRA/N/ASO/MLT: ntř
RPV/GRA/N/VAR/UNI: šv
RPV/GRA/N/VAR/DPX: šř
RPV/GRA/N/VAR/DCT: kšw
RPV/GRA/N/VAR/AGG: šxw
RPV/GRA/N/VAR/SEG: lšř
RPV/GRA/N/VAR/CPN: ršř
RPV/GRA/N/VAR/COH: fšw
RPV/GRA/N/VAR/CST: řšř
RPV/GRA/N/VAR/MLT: bžw
RPV/GRA/N/COA/UNI: žv
RPV/GRA/N/COA/DPX: žř
RPV/GRA/N/COA/DCT: pšw
RPV/GRA/N/COA/AGG: šxhw
RPV/GRA/N/COA/SEG: lžř
RPV/GRA/N/COA/CPN: ržř
RPV/GRA/N/COA/COH: šfw
RPV/GRA/N/COA/CST: řžř
RPV/GRA/N/COA/MLT: gžw
RPV/GRA/A/CSL/UNI: tm
RPV/GRA/A/CSL/DPX: ţm
RPV/GRA/A/CSL/DCT: ţn
RPV/GRA/A/CSL/AGG: tn
RPV/GRA/A/CSL/SEG: rsm
RPV/GRA/A/CSL/CPN: rsn
RPV/GRA/A/CSL/COH: sň
RPV/GRA/A/CSL/CST: rsň
RPV/GRA/A/CSL/MLT: nm
RPV/GRA/A/ASO/UNI: km
RPV/GRA/A/ASO/DPX: xm
RPV/GRA/A/ASO/DCT: xn
RPV/GRA/A/ASO/AGG: kn
RPV/GRA/A/ASO/SEG: rzm
RPV/GRA/A/ASO/CPN: rzn
RPV/GRA/A/ASO/COH: zň
RPV/GRA/A/ASO/CST: rzň
RPV/GRA/A/ASO/MLT: ňm
RPV/GRA/A/VAR/UNI: pm
RPV/GRA/A/VAR/DPX: fm
RPV/GRA/A/VAR/DCT: fn
RPV/GRA/A/VAR/AGG: pn
RPV/GRA/A/VAR/SEG: ršm
RPV/GRA/A/VAR/CPN: ršn
RPV/GRA/A/VAR/COH: šň
RPV/GRA/A/VAR/CST: ršň
RPV/GRA/A/VAR/MLT: mn
RPV/GRA/A/COA/UNI: qm
RPV/GRA/A/COA/DPX: xhm
RPV/GRA/A/COA/DCT: xhn
RPV/GRA/A/COA/AGG: qn
RPV/GRA/A/COA/SEG: ržm
RPV/GRA/A/COA/CPN: ržn
RPV/GRA/A/COA/COH: žň
RPV/GRA/A/COA/CST: ržň
RPV/GRA/A/COA/MLT: ňn
